N Prop.Msc.Sg.Gen.Indef	SMSG-P
N Prop.Msc.Sg.Gen.Indef.Cmpnd	TT
N Prop.Msc.Sg.Nom.Def	SMSNAP
N Prop.Msc.Sg.Nom.Indef	SMSN-P
N Prop.Neu.Pl.Acc.Indef	SNPA-P
N Prop.Neu.Pl.Dat.Def	SNPDAP
N Prop.Neu.Pl.Dat.Indef	SNPD-P
N Prop.Neu.Pl.Gen.Indef	SNPG-P
N Prop.Neu.Pl.Nom.Def	SNPNAP
N Prop.Neu.Pl.Nom.Indef	SNPN-P
N Prop.Neu.Sg.Acc.Def	SNSAAP
N Prop.Neu.Sg.Acc.Indef	SNSA-P
N Prop.Neu.Sg.Dat.Def	SNSDAP
N Prop.Neu.Sg.Dat.Indef	SNSD-P
N Prop.Neu.Sg.Gen.Indef	SNSG-P
N Prop.Neu.Sg.Gen.Indef.Cmpnd	TT
N Prop.Neu.Sg.Nom.Def	SNSNAP
N Prop.Neu.Sg.Nom.Indef	SNSN-P
N Prop.Sg.Acc	S----P
N Prop.Sg.Acc.Def	SMSAAP
N Prop.Sg.Acc.Guess	S----P
N Prop.Sg.Acc.Indef	SFSA-P
N Prop.Sg.Dat	SFSD-P
N Prop.Sg.Dat.Def	SFSDAP
N Prop.Sg.Dat.Guess	S----P
N Prop.Sg.Dat.Indef	SMSA-P
N Prop.Sg.Gen	SMSG-P
N Prop.Sg.Gen.Def	SMSGAP
N Prop.Sg.Gen.Guess	S----P
N Prop.Sg.Gen.Indef	SMSG-P
N* Prop.Sg.N.Msc.Sg.Acc.Indef	SMSA-P
N* Prop.Sg.N.Msc.Sg.Dat.Indef	SMSD-P
N Prop.Sg.Nom	S----P
N Prop.Sg.Nom.Guess	S----P
N Prop.Sg.Nom.Indef	SFSN-P
Num Acc	NO
Num Dat	NO
Num Fem.Sg.Acc	NCFSA
Num Fem.Sg.Dat	NCFSD
Num Fem.Sg.Nom	NCFSN
Num Fem.Sg.Pl.Acc	NCFPA
Num Fem.Sg.Pl.Dat	NCFPD
Num Fem.Sg.Pl.Gen	NCFPG
Num Fem.Sg.Pl.Nom	NCFPN
Num Gen	NO
Num Msc.Sg.Acc	NCMSA
Num Msc.Sg.Dat	NCMSD
Num Msc.Sg.Gen	NCMSG
Num Msc.Sg.Nom	NCMSN
Num Msc.Sg.Pl.Acc	NCMPA
Num Msc.Sg.Pl.Dat	NCMPD
Num Msc.Sg.Pl.Gen	NCMPG
Num Msc.Sg.Pl.Nom	NCMPN
Num Neu.Sg.Acc	NCNSA
Num Neu.Sg.Dat	NCNSD
Num Neu.Sg.Gen	NCNSG
Num Neu.Sg.Nom	NCNSN
Num Neu.Sg.Pl.Acc	NCNPA
Num Neu.Sg.Pl.Dat	NCNPD
Num Neu.Sg.Pl.Gen	NCNPG
Num Neu.Sg.Pl.Nom	NCNPN
Num Nom	NO
Num __UNDEF__	NC
Pron Dem.Fem.Pl.Acc	PDFPA
Pron Dem.Fem.Pl.Dat	PDFPD
Pron Dem.Fem.Pl.Gen	PDFPG
Pron Dem.Fem.Pl.Nom	PDFPN
Pron Dem.Fem.Sg.Acc	PDFSA
Pron Dem.Fem.Sg.Dat	PDFSD
Pron Dem.Fem.Sg.Nom	PDFSN
Pron Dem.Msc.Pl.Acc	PDMPA
Pron Dem.Msc.Pl.Dat	PDMPD
Pron Dem.Msc.Pl.Gen	PDMPG
Pron Dem.Msc.Pl.Nom	PDMPN
Pron Dem.Msc.Sg.Acc	PDMSA
Pron Dem.Msc.Sg.Dat	PDMSD
Pron Dem.Msc.Sg.Gen	PDMSG
Pron Dem.Msc.Sg.Nom	PDMSN
